employee_id,department,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,avg_training_score,age_no,previous_year_rating_no,length_of_service_no,avg_training_score_no
74430,HR,Bachelors,f,other,1,31,3.0,5,0,51,31.0,3.0,5.0,51
72255,Sales & Marketing,Bachelors,m,other,1,31,1.0,4,0,47,31.0,1.0,4.0,47
38562,Procurement,Bachelors,f,other,3,31,2.0,9,0,65,31.0,2.0,9.0,65
64486,Finance,Bachelors,m,sourcing,1,30,4.0,7,0,61,30.0,4.0,7.0,61
46232,Procurement,Bachelors,m,sourcing,1,36,3.0,2,0,68,36.0,3.0,2.0,68
54542,Finance,Bachelors,m,other,1,33,5.0,3,1,57,33.0,5.0,3.0,57
67269,Analytics,Bachelors,m,sourcing,2,36,3.0,3,0,85,36.0,3.0,3.0,85
66174,Technology,Masters & above,m,other,1,51,4.0,11,0,75,51.0,4.0,11.0,75
76303,Technology,Bachelors,m,sourcing,1,29,5.0,2,1,76,29.0,5.0,2.0,76
60245,Sales & Marketing,Bachelors,m,sourcing,2,40,5.0,12,1,50,40.0,5.0,12.0,50
42639,Sales & Marketing,Masters & above,m,sourcing,1,40,3.0,10,0,46,40.0,3.0,10.0,46
30963,Sales & Marketing,Masters & above,f,other,1,34,3.0,4,0,52,34.0,3.0,4.0,52
54055,Analytics,Bachelors,m,other,1,37,3.0,10,0,82,37.0,3.0,10.0,82
42996,Operations,Bachelors,m,sourcing,1,30,5.0,6,1,58,30.0,5.0,6.0,58
12737,Sales & Marketing,Bachelors,m,sourcing,1,31,4.0,4,1,47,31.0,4.0,4.0,47
27561,Operations,Bachelors,f,sourcing,1,26,5.0,3,0,56,26.0,5.0,3.0,56
26622,Sales & Marketing,Bachelors,m,sourcing,1,40,5.0,6,1,50,40.0,5.0,6.0,50
31582,Procurement,Bachelors,f,other,1,49,3.0,7,1,64,49.0,3.0,7.0,64
29793,Procurement,Bachelors,m,other,1,27,2.0,5,0,65,27.0,2.0,5.0,65
72735,Sales & Marketing,Masters & above,m,sourcing,1,37,5.0,3,0,47,37.0,5.0,3.0,47
60889,Technology,Masters & above,m,sourcing,1,30,1.0,3,0,83,30.0,1.0,3.0,83
51498,Procurement,Masters & above,m,other,1,41,3.0,4,0,76,41.0,3.0,4.0,76
8566,Finance,Bachelors,f,other,1,29,4.0,6,1,58,29.0,4.0,6.0,58
53151,Operations,Bachelors,m,other,1,33,3.0,7,1,62,33.0,3.0,7.0,62
16203,Sales & Marketing,Masters & above,m,sourcing,1,34,4.0,6,1,50,34.0,4.0,6.0,50
61083,Analytics,Bachelors,m,sourcing,1,34,3.0,3,1,87,34.0,3.0,3.0,87
74849,Operations,Bachelors,m,other,1,52,1.0,10,0,61,52.0,1.0,10.0,61
13259,Sales & Marketing,Bachelors,m,sourcing,1,30,2.0,3,0,50,30.0,2.0,3.0,50
72407,Analytics,Masters & above,m,sourcing,2,34,4.0,7,0,87,34.0,4.0,7.0,87
65237,Sales & Marketing,Bachelors,m,sourcing,2,43,1.0,14,0,52,43.0,1.0,14.0,52
77460,Sales & Marketing,Bachelors,f,sourcing,1,35,3.0,3,1,52,35.0,3.0,3.0,52
67317,Technology,Masters & above,m,other,4,40,3.0,12,0,77,40.0,3.0,12.0,77
68788,Technology,Bachelors,m,sourcing,2,33,4.0,9,0,83,33.0,4.0,9.0,83
36834,Sales & Marketing,Masters & above,m,other,1,30,3.0,2,1,55,30.0,3.0,2.0,55
64281,Sales & Marketing,Bachelors,f,sourcing,2,42,1.0,3,1,46,42.0,1.0,3.0,46
1822,Sales & Marketing,Bachelors,m,sourcing,3,29,1.0,3,0,51,29.0,1.0,3.0,51
41432,Analytics,Bachelors,m,sourcing,1,26,5.0,4,1,90,26.0,5.0,4.0,90
52061,Sales & Marketing,Bachelors,m,other,1,27,2.0,3,0,52,27.0,2.0,3.0,52
39973,Operations,Bachelors,m,other,1,34,5.0,5,1,66,34.0,5.0,5.0,66
42524,Sales & Marketing,Bachelors,m,sourcing,1,26,4.0,5,0,45,26.0,4.0,5.0,45
7935,Technology,Bachelors,f,other,1,52,5.0,18,0,80,52.0,5.0,,80
49940,Sales & Marketing,Bachelors,m,other,1,26,5.0,2,1,54,26.0,5.0,2.0,54
10059,Analytics,Bachelors,m,sourcing,3,27,3.0,2,0,83,27.0,3.0,2.0,83
76691,Operations,Bachelors,m,other,1,33,4.0,8,1,59,33.0,4.0,8.0,59
5621,Technology,Masters & above,f,other,1,57,1.0,26,0,76,,1.0,,76
24147,Sales & Marketing,Bachelors,m,other,2,46,1.0,7,0,49,46.0,1.0,7.0,49
33997,Sales & Marketing,Bachelors,m,sourcing,1,30,2.0,3,0,50,30.0,2.0,3.0,50
23714,Technology,Masters & above,m,sourcing,2,40,3.0,6,0,81,40.0,3.0,6.0,81
19866,Technology,Bachelors,m,other,2,32,3.0,6,0,79,32.0,3.0,6.0,79
4529,Finance,Masters & above,f,sourcing,1,36,3.0,2,1,61,36.0,3.0,2.0,61
64703,Legal,Bachelors,m,other,1,28,2.0,2,0,62,28.0,2.0,2.0,62
19649,Operations,Bachelors,f,sourcing,1,29,5.0,4,1,56,29.0,5.0,4.0,56
6596,Sales & Marketing,Masters & above,m,sourcing,1,38,4.0,4,0,49,38.0,4.0,4.0,49
7999,Technology,Bachelors,m,other,1,31,2.0,4,1,78,31.0,2.0,4.0,78
4762,Sales & Marketing,Bachelors,m,other,1,29,1.0,4,0,46,29.0,1.0,4.0,46
24620,Operations,Bachelors,m,sourcing,1,41,4.0,6,1,60,41.0,4.0,6.0,60
57989,Procurement,Bachelors,m,other,1,29,5.0,2,1,74,29.0,5.0,2.0,74
75619,Sales & Marketing,Bachelors,f,other,1,29,2.0,5,0,51,29.0,2.0,5.0,51
65975,Analytics,Bachelors,m,other,2,28,5.0,4,1,84,28.0,5.0,4.0,84
51302,Procurement,Bachelors,f,sourcing,1,31,1.0,6,0,64,31.0,1.0,6.0,64
63714,Technology,Masters & above,m,sourcing,1,36,3.0,4,0,76,36.0,3.0,4.0,76
70556,Operations,Bachelors,m,other,3,26,3.0,4,1,57,26.0,3.0,4.0,57
70117,Technology,Bachelors,m,other,1,29,3.0,2,0,84,29.0,3.0,2.0,84
51972,Analytics,Bachelors,m,sourcing,1,32,4.0,6,0,85,32.0,4.0,6.0,85
60572,Sales & Marketing,Bachelors,f,other,1,40,1.0,10,0,50,40.0,1.0,10.0,50
9548,Analytics,Bachelors,m,sourcing,2,38,4.0,13,0,87,38.0,4.0,13.0,87
64,Analytics,Bachelors,m,other,1,42,5.0,11,1,80,42.0,5.0,11.0,80
35510,Procurement,Masters & above,f,other,1,33,3.0,6,0,68,33.0,3.0,6.0,68
10732,Analytics,Bachelors,m,other,1,31,5.0,5,1,92,31.0,5.0,5.0,92
9214,Operations,Masters & above,f,sourcing,1,35,3.0,4,0,58,35.0,3.0,4.0,58
10761,HR,Masters & above,f,sourcing,1,58,5.0,6,1,51,,5.0,6.0,51
32110,Sales & Marketing,Bachelors,f,sourcing,1,26,2.0,4,0,48,26.0,2.0,4.0,48
50038,HR,Bachelors,f,sourcing,1,33,3.0,8,1,49,33.0,3.0,8.0,49
1555,Technology,Bachelors,m,sourcing,1,30,3.0,3,1,80,30.0,3.0,3.0,80
21200,Technology,Masters & above,f,sourcing,1,43,3.0,12,0,79,43.0,3.0,12.0,79
50380,HR,Bachelors,f,sourcing,1,31,4.0,7,0,48,31.0,4.0,7.0,48
45009,Analytics,Bachelors,m,sourcing,1,32,3.0,5,1,86,32.0,3.0,5.0,86
65450,Technology,Masters & above,f,sourcing,2,57,2.0,7,0,83,,2.0,7.0,83
77333,Operations,Bachelors,f,other,1,54,4.0,22,0,57,,4.0,,57
8443,R&D,Masters & above,m,other,2,27,4.0,5,0,86,27.0,4.0,5.0,86
39490,Operations,Masters & above,m,sourcing,1,44,3.0,10,0,55,44.0,3.0,10.0,55
69077,Technology,Masters & above,f,other,1,37,3.0,10,0,81,37.0,3.0,10.0,81
64652,Procurement,Masters & above,m,other,1,48,4.0,8,0,72,48.0,4.0,8.0,72
5254,Sales & Marketing,Bachelors,f,other,1,31,3.0,6,1,43,31.0,3.0,6.0,43
71131,Finance,Bachelors,f,other,1,28,5.0,5,1,60,28.0,5.0,5.0,60
19620,Procurement,Masters & above,f,other,1,34,3.0,4,0,69,34.0,3.0,4.0,69
41266,Sales & Marketing,Bachelors,f,sourcing,1,44,1.0,4,0,47,44.0,1.0,4.0,47
11001,Sales & Marketing,Bachelors,m,sourcing,1,27,5.0,2,0,50,27.0,5.0,2.0,50
28530,Operations,Masters & above,m,referred,1,45,3.0,4,1,57,45.0,3.0,4.0,57
72481,Sales & Marketing,Bachelors,m,sourcing,1,24,4.0,2,0,48,24.0,4.0,2.0,48
67417,Analytics,Bachelors,m,other,1,37,5.0,4,0,82,37.0,5.0,4.0,82
40287,Sales & Marketing,Masters & above,f,other,1,31,1.0,2,1,53,31.0,1.0,2.0,53
29367,Sales & Marketing,Masters & above,m,sourcing,3,38,3.0,5,0,49,38.0,3.0,5.0,49
36352,Procurement,Bachelors,m,other,1,32,5.0,2,1,72,32.0,5.0,2.0,72
29681,Analytics,Bachelors,m,other,1,29,3.0,4,0,84,29.0,3.0,4.0,84
30233,Sales & Marketing,Bachelors,m,other,1,37,4.0,9,0,50,37.0,4.0,9.0,50
66601,Operations,Bachelors,m,other,2,42,3.0,12,0,60,42.0,3.0,12.0,60
40276,R&D,Masters & above,m,sourcing,2,32,5.0,5,1,88,32.0,5.0,5.0,88
1522,Operations,Bachelors,m,other,1,45,3.0,3,0,60,45.0,3.0,3.0,60
17936,Analytics,Bachelors,m,other,1,28,3.0,7,0,83,28.0,3.0,7.0,83
26270,Technology,Masters & above,m,sourcing,1,35,1.0,9,0,81,35.0,1.0,9.0,81
6837,Sales & Marketing,Bachelors,m,other,3,28,3.0,5,0,48,28.0,3.0,5.0,48
49665,Operations,Bachelors,f,other,1,37,1.0,3,1,59,37.0,1.0,3.0,59
1908,Analytics,Masters & above,m,other,1,38,4.0,7,1,88,38.0,4.0,7.0,88
6474,Procurement,Bachelors,f,sourcing,1,31,1.0,6,0,68,31.0,1.0,6.0,68
27495,Operations,Masters & above,m,other,2,43,3.0,2,0,69,43.0,3.0,2.0,69
24324,Operations,Bachelors,m,other,1,32,3.0,2,1,62,32.0,3.0,2.0,62
14299,Procurement,Below Secondary,m,sourcing,1,24,4.0,2,1,69,24.0,4.0,2.0,69
56246,Operations,Masters & above,m,other,1,52,5.0,8,0,59,52.0,5.0,8.0,59
3901,Technology,Masters & above,m,other,1,38,5.0,2,0,88,38.0,5.0,2.0,88
41566,Finance,Bachelors,m,other,1,35,3.0,4,0,59,35.0,3.0,4.0,59
55735,Technology,Masters & above,m,other,1,39,5.0,4,0,81,39.0,5.0,4.0,81
53627,Procurement,Bachelors,m,other,1,31,3.0,5,1,65,31.0,3.0,5.0,65
62683,Operations,Bachelors,m,sourcing,1,37,3.0,5,0,57,37.0,3.0,5.0,57
44948,Operations,Masters & above,f,other,1,37,5.0,9,1,56,37.0,5.0,9.0,56
26037,Analytics,Bachelors,m,other,2,31,3.0,5,1,81,31.0,3.0,5.0,81
30607,Analytics,Bachelors,m,sourcing,1,28,5.0,4,1,85,28.0,5.0,4.0,85
46103,Technology,Bachelors,m,other,1,26,3.0,3,0,77,26.0,3.0,3.0,77
6452,Finance,Masters & above,m,other,1,49,4.0,7,1,62,49.0,4.0,7.0,62
47286,Procurement,Bachelors,f,other,1,34,3.0,9,0,68,34.0,3.0,9.0,68
44117,Finance,Masters & above,f,other,1,38,3.0,2,0,58,38.0,3.0,2.0,58
1367,Sales & Marketing,Masters & above,m,other,1,52,4.0,4,1,51,52.0,4.0,4.0,51
26228,Sales & Marketing,Bachelors,m,sourcing,3,31,1.0,7,1,50,31.0,1.0,7.0,50
65694,Technology,Bachelors,f,other,1,24,1.0,2,0,82,24.0,1.0,2.0,82
63901,HR,Bachelors,m,other,1,31,2.0,5,0,66,31.0,2.0,5.0,66
4701,Technology,Bachelors,f,other,1,43,1.0,4,1,86,43.0,1.0,4.0,86
35341,Procurement,Masters & above,m,other,4,37,3.0,6,0,68,37.0,3.0,6.0,68
10361,HR,Masters & above,m,other,1,37,5.0,9,1,53,37.0,5.0,9.0,53
6572,Operations,Bachelors,m,other,1,32,5.0,8,1,58,32.0,5.0,8.0,58
70408,Sales & Marketing,Bachelors,f,other,1,30,4.0,2,0,53,30.0,4.0,2.0,53
11774,Procurement,Bachelors,f,other,1,30,5.0,4,1,71,30.0,5.0,4.0,71
37873,Sales & Marketing,Bachelors,m,sourcing,1,27,4.0,3,0,50,27.0,4.0,3.0,50
3886,Sales & Marketing,Bachelors,m,other,2,36,4.0,8,0,45,36.0,4.0,8.0,45
23347,Technology,Bachelors,m,sourcing,4,30,3.0,2,0,78,30.0,3.0,2.0,78
3034,Procurement,Masters & above,m,sourcing,1,49,4.0,19,0,73,49.0,4.0,,73
30137,Sales & Marketing,Masters & above,m,other,1,38,5.0,5,0,63,38.0,5.0,5.0,63
52431,Sales & Marketing,Bachelors,m,other,1,29,3.0,6,0,51,29.0,3.0,6.0,51
11061,Technology,Bachelors,m,other,1,48,3.0,6,1,81,48.0,3.0,6.0,81
17607,Analytics,Masters & above,m,other,1,59,4.0,13,0,82,,4.0,13.0,82
64986,Operations,Bachelors,f,other,1,36,5.0,5,1,62,36.0,5.0,5.0,62
8082,Finance,Bachelors,m,other,1,28,3.0,3,0,59,28.0,3.0,3.0,59
20982,Procurement,Bachelors,m,other,2,27,4.0,2,1,68,27.0,4.0,2.0,68
5794,Operations,Bachelors,m,sourcing,1,25,3.0,2,0,62,25.0,3.0,2.0,62
69381,Sales & Marketing,Bachelors,m,other,1,30,5.0,6,1,52,30.0,5.0,6.0,52
48923,Sales & Marketing,Bachelors,m,other,1,38,4.0,5,1,48,38.0,4.0,5.0,48
48813,HR,Bachelors,f,other,1,53,4.0,21,0,53,,4.0,,53
5574,Sales & Marketing,Masters & above,m,other,1,35,3.0,8,0,45,35.0,3.0,8.0,45
57601,HR,Bachelors,m,other,1,45,3.0,14,1,53,45.0,3.0,14.0,53
564,Operations,Bachelors,m,other,1,39,3.0,8,0,58,39.0,3.0,8.0,58
3864,Analytics,Bachelors,m,other,1,46,4.0,6,0,82,46.0,4.0,6.0,82
19598,Technology,Bachelors,m,sourcing,2,29,3.0,3,0,79,29.0,3.0,3.0,79
74965,Technology,Bachelors,f,other,1,34,4.0,6,1,82,34.0,4.0,6.0,82
13367,Sales & Marketing,Bachelors,m,other,1,38,5.0,3,0,51,38.0,5.0,3.0,51
38556,HR,Masters & above,m,sourcing,1,32,3.0,5,0,52,32.0,3.0,5.0,52
51344,Operations,Bachelors,m,other,1,33,3.0,5,1,58,33.0,3.0,5.0,58
28320,Procurement,Bachelors,f,other,1,39,4.0,9,0,70,39.0,4.0,9.0,70
56104,Procurement,Masters & above,m,other,4,36,3.0,6,0,71,36.0,3.0,6.0,71
68882,Operations,Bachelors,m,sourcing,2,33,4.0,4,0,59,33.0,4.0,4.0,59
75800,Sales & Marketing,Bachelors,f,other,1,29,4.0,6,1,45,29.0,4.0,6.0,45
13223,R&D,Bachelors,f,other,1,32,3.0,5,0,85,32.0,3.0,5.0,85
62740,Sales & Marketing,Bachelors,f,sourcing,1,26,3.0,2,1,46,26.0,3.0,2.0,46
67233,Analytics,Bachelors,m,sourcing,1,38,3.0,3,0,82,38.0,3.0,3.0,82
49207,Procurement,Masters & above,m,sourcing,1,42,2.0,15,0,70,42.0,2.0,15.0,70
19053,Operations,Bachelors,f,sourcing,1,30,5.0,6,0,60,30.0,5.0,6.0,60
46519,Sales & Marketing,Bachelors,m,other,1,36,4.0,6,0,47,36.0,4.0,6.0,47
2111,Procurement,Bachelors,f,other,1,56,5.0,6,0,84,,5.0,6.0,84
69413,Sales & Marketing,Bachelors,f,other,1,30,3.0,5,0,51,30.0,3.0,5.0,51
40064,HR,Bachelors,f,other,1,29,5.0,6,1,49,29.0,5.0,6.0,49
33502,Sales & Marketing,Bachelors,m,other,1,36,2.0,7,0,47,36.0,2.0,7.0,47
15182,Technology,Bachelors,f,other,1,39,3.0,4,0,80,39.0,3.0,4.0,80
13593,Analytics,Bachelors,m,sourcing,1,30,5.0,4,1,84,30.0,5.0,4.0,84
15613,R&D,Bachelors,m,other,2,42,3.0,9,0,84,42.0,3.0,9.0,84
75751,Sales & Marketing,Bachelors,m,sourcing,2,37,4.0,9,0,49,37.0,4.0,9.0,49
71625,Procurement,Bachelors,m,sourcing,1,31,2.0,2,1,66,31.0,2.0,2.0,66
37763,Sales & Marketing,Masters & above,m,sourcing,1,32,4.0,6,1,48,32.0,4.0,6.0,48
10812,Operations,Masters & above,m,other,1,40,5.0,11,1,59,40.0,5.0,11.0,59
67357,Finance,Bachelors,m,sourcing,2,39,5.0,10,1,58,39.0,5.0,10.0,58
49583,Sales & Marketing,Bachelors,m,other,1,40,4.0,10,1,47,40.0,4.0,10.0,47
45428,HR,Bachelors,m,sourcing,1,23,1.0,2,0,45,23.0,1.0,2.0,45
44266,Sales & Marketing,Bachelors,m,other,1,37,2.0,4,0,51,37.0,2.0,4.0,51
57884,Operations,Bachelors,m,sourcing,1,37,3.0,9,0,61,37.0,3.0,9.0,61
24334,Legal,Bachelors,m,referred,1,29,5.0,3,1,54,29.0,5.0,3.0,54
58892,Operations,Bachelors,f,other,1,38,4.0,10,0,55,38.0,4.0,10.0,55
40799,Operations,Bachelors,m,other,2,39,4.0,10,0,57,39.0,4.0,10.0,57
33879,Sales & Marketing,Masters & above,m,other,2,38,5.0,7,1,48,38.0,5.0,7.0,48
24403,Procurement,Bachelors,m,sourcing,1,34,3.0,4,0,69,34.0,3.0,4.0,69
51150,Procurement,Bachelors,f,other,1,48,5.0,21,0,69,48.0,5.0,,69
7722,R&D,Masters & above,m,other,1,29,5.0,4,0,82,29.0,5.0,4.0,82
71271,Technology,Masters & above,f,other,1,37,4.0,7,1,81,37.0,4.0,7.0,81
65909,Operations,Bachelors,f,other,1,47,5.0,2,1,63,47.0,5.0,2.0,63
8228,Sales & Marketing,Bachelors,m,sourcing,1,31,1.0,3,0,50,31.0,1.0,3.0,50
52138,Analytics,Bachelors,m,other,1,28,3.0,4,0,83,28.0,3.0,4.0,83
22999,Finance,Masters & above,f,other,2,32,4.0,6,1,57,32.0,4.0,6.0,57
29196,Procurement,Bachelors,f,other,1,33,2.0,4,1,71,33.0,2.0,4.0,71
17973,Operations,Bachelors,m,sourcing,1,34,3.0,10,0,67,34.0,3.0,10.0,67
10986,Sales & Marketing,Bachelors,m,sourcing,1,38,5.0,3,1,52,38.0,5.0,3.0,52
19355,Technology,Bachelors,m,other,1,28,4.0,5,0,79,28.0,4.0,5.0,79
